fiindex,fi_opcode,crash,benign,SDC
911,insertelement,0.06666666666666667,0.7666666666666667,0.16666666666666663
912,shufflevector,0.06666666666666667,0.6333333333333333,0.30000000000000004
913,fmul,0.03333333333333333,0.7,0.2666666666666667
914,bitcast,0.7666666666666667,0.1,0.1333333333333333
916,getelementptr,0.8,0.1,0.09999999999999998
917,fneg,0.0,0.7666666666666667,0.23333333333333328
918,fmul,0.16666666666666666,0.6666666666666666,0.1666666666666667
919,bitcast,0.7,0.0,0.30000000000000004
921,getelementptr,0.8,0.03333333333333333,0.16666666666666663
922,fneg,0.03333333333333333,0.8666666666666667,0.09999999999999998
923,fmul,0.03333333333333333,0.7666666666666667,0.19999999999999996
924,bitcast,0.7333333333333333,0.03333333333333333,0.2333333333333334
926,getelementptr,0.7,0.1,0.20000000000000007
927,fneg,0.0,0.7,0.30000000000000004
928,fmul,0.06666666666666667,0.7333333333333333,0.20000000000000007
929,bitcast,0.6666666666666666,0.16666666666666666,0.16666666666666674
931,fneg,0.0,0.7,0.30000000000000004
932,insertelement,0.03333333333333333,0.8333333333333334,0.1333333333333333
933,shufflevector,0.03333333333333333,0.7666666666666667,0.19999999999999996
934,fmul,0.06666666666666667,0.6,0.33333333333333337
935,bitcast,0.7666666666666667,0.0,0.23333333333333328
937,getelementptr,0.7666666666666667,0.06666666666666667,0.16666666666666663
938,fneg,0.03333333333333333,0.6666666666666666,0.30000000000000004
939,fmul,0.1,0.5666666666666667,0.33333333333333337
940,bitcast,0.8333333333333334,0.06666666666666667,0.09999999999999998
942,getelementptr,0.7,0.13333333333333333,0.16666666666666674
943,fneg,0.0,0.6666666666666666,0.33333333333333337
944,fmul,0.03333333333333333,0.7666666666666667,0.19999999999999996
945,bitcast,0.8666666666666667,0.03333333333333333,0.09999999999999998
947,getelementptr,0.7,0.2,0.10000000000000009
948,fneg,0.0,0.8666666666666667,0.1333333333333333
949,fmul,0.06666666666666667,0.7,0.2333333333333334
950,bitcast,0.7666666666666667,0.06666666666666667,0.16666666666666663
952,fneg,0.03333333333333333,0.7666666666666667,0.19999999999999996
953,insertelement,0.0,0.9333333333333333,0.06666666666666665
954,shufflevector,0.06666666666666667,0.6666666666666666,0.2666666666666667
955,fmul,0.0,0.7,0.30000000000000004
956,bitcast,0.7333333333333333,0.2,0.06666666666666676
958,getelementptr,0.7333333333333333,0.16666666666666666,0.10000000000000009
959,fneg,0.0,0.5333333333333333,0.4666666666666667
960,fmul,0.0,0.8,0.19999999999999996
961,bitcast,0.7666666666666667,0.1,0.1333333333333333
963,getelementptr,0.7666666666666667,0.03333333333333333,0.19999999999999996
964,fneg,0.03333333333333333,0.8333333333333334,0.1333333333333333
965,fmul,0.0,0.6,0.4
966,bitcast,0.6666666666666666,0.13333333333333333,0.20000000000000007
968,getelementptr,0.9,0.0,0.09999999999999998
969,fneg,0.03333333333333333,0.8,0.16666666666666663
970,fmul,0.0,0.8333333333333334,0.16666666666666663
971,bitcast,0.7333333333333333,0.03333333333333333,0.2333333333333334
1017,phi,0.9,0.03333333333333333,0.06666666666666665
1018,shl,0.8,0.06666666666666667,0.1333333333333333
1019,load,0.8666666666666667,0.03333333333333333,0.09999999999999998
1020,getelementptr,0.8,0.1,0.09999999999999998
1021,load,0.8333333333333334,0.1,0.06666666666666665
1022,load,0.8333333333333334,0.13333333333333333,0.033333333333333326
1023,load,0.8333333333333334,0.06666666666666667,0.09999999999999998
1025,getelementptr,0.8333333333333334,0.13333333333333333,0.033333333333333326
1028,getelementptr,0.7333333333333333,0.1,0.16666666666666674
1029,load,0.03333333333333333,0.6666666666666666,0.30000000000000004
1030,getelementptr,0.8333333333333334,0.0,0.16666666666666663
1031,load,0.0,0.9,0.09999999999999998
1032,getelementptr,0.6333333333333333,0.03333333333333333,0.33333333333333337
1033,load,0.06666666666666667,0.6,0.33333333333333337
1035,load,0.8,0.06666666666666667,0.1333333333333333
1036,load,0.6666666666666666,0.1,0.2333333333333334
1037,load,0.8666666666666667,0.06666666666666667,0.06666666666666665
1058,add,0.9,0.0,0.09999999999999998
1059,icmp,0.7333333333333333,0.0,0.2666666666666667
1086,load,0.6333333333333333,0.16666666666666666,0.20000000000000007
1087,getelementptr,0.7333333333333333,0.1,0.16666666666666674
1088,load,0.43333333333333335,0.13333333333333333,0.43333333333333335
1089,getelementptr,0.7333333333333333,0.16666666666666666,0.10000000000000009
1090,load,0.43333333333333335,0.2,0.3666666666666667
1091,getelementptr,0.8,0.03333333333333333,0.16666666666666663
1092,load,0.5333333333333333,0.26666666666666666,0.20000000000000007
1093,getelementptr,0.7,0.06666666666666667,0.2333333333333334
1094,load,0.6333333333333333,0.1,0.2666666666666667
1095,getelementptr,0.9,0.0,0.09999999999999998
1096,load,0.5,0.16666666666666666,0.33333333333333337
1097,getelementptr,0.7,0.06666666666666667,0.2333333333333334
1098,load,0.7333333333333333,0.1,0.16666666666666674
1099,getelementptr,0.8333333333333334,0.06666666666666667,0.09999999999999998
1100,load,0.5333333333333333,0.2,0.2666666666666667
1101,sext,0.7666666666666667,0.06666666666666667,0.16666666666666663
1102,load,0.9,0.06666666666666667,0.033333333333333326
1103,getelementptr,0.7666666666666667,0.06666666666666667,0.16666666666666663
1104,load,0.0,0.8,0.19999999999999996
1106,sext,0.9,0.03333333333333333,0.06666666666666665
1107,getelementptr,0.7666666666666667,0.1,0.1333333333333333
1108,load,0.0,0.7333333333333333,0.2666666666666667
1109,getelementptr,0.7666666666666667,0.1,0.1333333333333333
1111,sext,0.6,0.2,0.20000000000000007
1112,getelementptr,0.7333333333333333,0.06666666666666667,0.20000000000000007
1113,load,0.0,0.7333333333333333,0.2666666666666667
1114,getelementptr,0.6333333333333333,0.16666666666666666,0.20000000000000007
1116,sext,0.7666666666666667,0.13333333333333333,0.09999999999999998
1117,getelementptr,0.7333333333333333,0.1,0.16666666666666674
1118,load,0.0,0.8333333333333334,0.16666666666666663
1119,getelementptr,0.7,0.16666666666666666,0.13333333333333341
1121,sext,0.7,0.16666666666666666,0.13333333333333341
1122,getelementptr,0.7,0.1,0.20000000000000007
1123,load,0.0,0.7,0.30000000000000004
1124,getelementptr,0.5333333333333333,0.06666666666666667,0.4
